avg_outflow,avg_inflow,total_grid,Am,BOD,COD,TN,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,year,month,day
4.305,4.518,288059,29.0,370.0,670.0,61.24,10.2,14.0,7.0,0.0,72,0.0,10.0,14.8,27.8,0.0,2016,9,25
4.303,4.744,327217,28.0,350.0,720.0,58.612,10.2,16.0,5.0,0.0,71,0.0,9.7,13.7,31.7,46.5,2016,9,26
5.27,6.917,210444,23.0,300.0,590.0,53.347,10.4,15.0,7.0,0.0,75,0.0,9.2,19.6,31.7,0.0,2016,9,27
5.329,5.593,347807,27.0,360.0,740.0,59.603,14.2,17.0,11.0,0.0,66,0.0,10.0,33.2,51.9,75.9,2016,9,28
5.824,9.607,398328,31.0,422.98,845.96,63.091,11.8,15.0,9.0,0.0,79,0.0,10.0,14.6,31.7,0.0,2016,9,30
5.934,8.68,394396,30.0,300.0,610.0,54.774,15.4,22.0,9.0,0.0,64,0.0,9.3,36.1,61.1,85.2,2016,10,2
5.759,5.525,363677,20.0,260.0,490.0,53.053,12.0,15.0,10.0,0.0,64,0.0,10.0,27.0,42.4,61.1,2016,10,3
5.599,4.694,380550,25.0,340.0,570.0,41.0,9.9,16.0,6.0,0.0,70,0.0,9.8,30.4,64.8,81.7,2016,10,4
2.526,7.046,195490,30.0,360.0,650.0,62.023,12.7,19.0,9.0,0.0,71,0.0,10.0,23.0,37.0,57.6,2016,10,5
6.384,9.256,247582,27.0,460.0,730.0,60.378,20.1,25.0,17.0,0.0,50,0.0,10.0,36.9,48.2,74.1,2016,10,6
7.432,5.804,389808,34.0,340.0,590.0,55.847,15.2,20.0,11.0,0.0,65,0.0,10.0,36.7,83.5,107.6,2016,10,9
7.113,5.019,395208,26.0,310.0,660.0,58.769,9.1,16.0,5.0,0.0,69,0.0,9.8,26.1,53.5,75.9,2016,10,10
5.651,4.973,322883,18.0,320.0,560.0,53.295,10.8,14.0,5.0,0.0,70,0.0,10.0,19.3,40.7,50.0,2016,10,11
4.985,5.239,350181,34.0,410.0,750.0,60.563,9.1,15.0,4.0,0.0,75,0.0,9.7,18.1,38.9,57.6,2016,10,12
4.577,5.492,343520,34.0,340.0,760.0,60.406,9.0,14.1,2.0,0.0,67,0.0,10.0,13.3,24.1,0.0,2016,10,13
6.556,10.38,339821,29.0,290.0,620.0,48.0,12.9,21.0,7.0,0.0,74,0.0,9.5,19.4,37.0,51.9,2016,10,16
7.465,6.998,329858,24.0,320.0,590.0,52.819,13.4,18.0,9.9,0.0,58,0.0,9.7,22.2,29.4,46.5,2016,10,17
6.769,4.929,347406,30.0,360.0,690.0,60.563,8.3,16.0,3.0,0.0,72,0.0,10.0,19.8,40.7,59.4,2016,10,18
6.71,6.338,273169,29.0,360.0,730.0,62.218,11.1,15.0,7.0,0.0,53,0.0,0.0,19.3,53.0,68.3,2016,10,19
5.277,5.326,321799,30.0,370.0,770.0,61.69,16.9,21.0,14.0,0.0,43,0.0,0.0,47.6,74.1,100.0,2016,10,20
3.936,4.253,324576,20.0,240.0,660.0,58.769,9.9,13.0,5.0,0.0,70,0.0,9.8,17.8,33.5,0.0,2016,10,23
4.472,4.601,334776,29.0,350.0,670.0,61.396,13.0,15.0,9.0,0.0,66,0.0,10.0,18.0,50.0,70.6,2016,10,24
4.052,5.071,343844,26.0,340.0,780.0,59.797,18.9,23.0,14.0,0.0,44,0.0,0.0,29.1,50.0,68.3,2016,10,25
4.53,4.725,350836,37.0,360.0,1100.0,66.797,11.3,19.0,5.0,0.0,84,0.0,9.0,13.0,31.7,0.0,2016,10,26
3.781,4.783,374982,41.0,380.0,660.0,60.629,9.8,15.0,4.0,0.0,66,0.0,10.0,18.0,29.4,0.0,2016,10,27
3.792,4.661,265250,44.0,370.0,670.0,61.608,13.3,25.0,6.0,0.0,50,0.0,10.0,33.0,64.0,87.0,2016,10,30
5.816,10.241,290343,33.0,340.0,720.0,61.19,11.9,19.0,6.5,0.0,66,0.0,9.8,17.6,37.0,40.7,2016,11,1
7.366,8.025,312313,34.0,400.0,700.0,51.0,12.8,18.0,7.0,0.0,66,0.0,10.0,14.6,25.9,0.0,2016,11,2
6.641,5.822,311909,34.0,530.0,690.0,62.145,13.9,21.0,8.0,0.0,67,0.0,10.0,13.3,31.7,0.0,2016,11,3
5.979,5.554,317380,42.0,350.0,780.0,61.885,17.3,21.0,14.0,0.0,52,0.0,10.0,23.9,51.9,72.2,2016,11,6
4.905,4.709,308886,26.0,300.0,630.0,57.086,15.4,25.0,9.0,0.0,61,0.0,10.0,21.5,55.4,74.1,2016,11,7
3.239,4.335,275366,26.0,350.0,720.0,59.545,13.2,18.3,8.0,0.0,62,0.0,9.8,15.0,25.9,0.0,2016,11,8
2.984,3.993,302033,30.0,340.0,770.0,61.24,13.0,18.0,9.0,0.0,71,0.0,10.0,15.6,24.1,0.0,2016,11,9
2.994,4.504,297927,40.0,350.0,840.0,62.257,11.8,18.0,5.0,0.0,72,0.0,10.0,12.2,20.6,0.0,2016,11,10
3.694,3.778,289343,34.0,422.98,845.96,63.312,16.8,24.0,11.0,0.0,56,0.0,9.8,27.0,38.9,61.1,2016,11,12
4.587,4.694,306020,37.0,320.0,720.0,61.396,12.6,18.0,9.8,0.0,84,0.0,8.7,28.0,37.0,57.6,2016,11,13
3.433,3.965,151270,27.0,260.0,530.0,53.106,12.3,17.0,8.8,0.0,71,0.0,10.0,23.5,37.0,0.0,2016,11,14
3.123,3.676,232501,30.0,340.0,720.0,61.668,13.3,18.1,8.7,0.0,76,0.0,10.0,15.4,25.9,0.0,2016,11,15
2.963,3.602,350012,33.0,340.0,660.0,52.0,15.9,23.0,11.0,0.0,70,0.0,10.0,16.5,35.2,46.5,2016,11,16
2.981,3.165,349776,37.0,370.0,770.0,61.591,21.9,30.0,14.0,0.0,46,0.0,8.4,21.3,38.9,61.1,2016,11,17
3.01,3.407,272259,31.0,300.0,460.0,54.389,26.3,33.1,21.0,0.0,42,0.0,0.0,26.1,53.5,68.3,2016,11,20
3.015,3.541,295352,37.0,360.0,880.0,64.321,22.4,34.1,13.0,0.0,57,0.0,8.7,20.4,57.6,83.5,2016,11,21
2.849,3.572,351523,40.0,330.0,910.0,63.091,12.3,14.0,10.6,0.0,90,0.0,8.4,12.0,27.8,0.0,2016,11,22
2.984,3.851,346530,36.0,410.0,820.0,61.396,10.7,14.1,8.0,0.0,75,0.0,9.7,22.4,38.9,55.4,2016,11,23
3.772,4.147,279054,40.0,470.0,1100.0,68.183,12.6,17.0,9.0,0.0,68,0.0,10.0,20.4,29.4,0.0,2016,11,24
2.949,3.479,265138,44.0,330.0,730.0,61.504,14.2,17.0,12.0,0.0,79,0.0,9.3,13.0,20.6,0.0,2016,11,27
3.061,3.509,264954,43.0,440.0,850.0,67.0,14.9,21.0,10.0,0.0,69,0.0,10.0,12.2,22.2,0.0,2016,11,28
4.01,4.204,261667,39.0,330.0,860.0,63.136,15.4,21.0,10.0,0.0,71,0.0,9.5,15.6,25.9,0.0,2016,11,29
2.958,3.743,306998,40.0,320.0,870.0,63.091,15.0,19.2,9.0,0.0,76,0.0,10.0,13.3,24.1,0.0,2016,11,30
3.597,4.103,360903,39.0,340.0,930.0,63.155,16.7,24.0,10.9,0.0,67,0.0,10.0,13.0,24.1,0.0,2016,12,1
5.204,4.975,288576,43.0,310.0,750.0,63.521,23.3,31.0,15.7,0.0,50,0.0,10.0,28.9,48.2,70.6,2016,12,4
5.82,10.091,203027,40.0,540.0,1300.0,68.183,16.2,22.0,12.0,0.0,63,0.0,10.0,14.8,27.8,0.0,2016,12,5
7.274,13.368,318615,39.0,490.0,1200.0,68.183,14.2,21.0,8.0,0.0,64,0.0,10.0,12.2,27.8,0.0,2016,12,6
7.373,5.818,321522,44.0,520.0,1000.0,64.477,22.1,28.0,16.0,0.0,31,0.0,9.0,25.7,57.6,77.8,2016,12,7
5.518,4.608,361701,35.0,320.0,680.0,61.396,14.4,23.0,8.0,0.0,62,0.0,10.0,33.2,53.5,72.2,2016,12,8
5.368,5.64,324125,46.0,640.0,1300.0,68.183,14.7,27.0,8.0,0.0,66,0.0,10.0,14.8,24.1,0.0,2016,12,11
5.451,5.124,288885,36.0,340.0,950.0,70.0,25.7,33.0,17.0,0.0,24,0.0,0.0,23.0,46.5,61.1,2016,12,12
3.443,3.998,297419,38.0,360.0,900.0,64.321,24.6,35.2,15.0,0.0,34,0.0,10.0,25.9,44.6,64.8,2016,12,13
