avg_outflow,avg_inflow,total_grid,Am,BOD,COD,TN,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,year,month,day
3.882,4.158,368798,27.0,297.5,595.0,53.295,10.3,12.0,8.0,0.0,94,0.0,9.0,10.6,18.3,0.0,2015,5,21
3.653,3.961,334780,33.0,382.5,765.0,60.406,10.3,17.0,6.0,0.0,71,0.0,0.0,14.8,24.1,0.0,2015,5,24
3.244,3.697,361330,36.0,440.0,975.0,68.0,9.9,16.0,5.0,0.0,72,0.0,0.0,20.2,27.8,0.0,2015,5,25
3.38,3.786,378301,31.0,410.0,820.0,61.396,12.3,15.0,9.5,0.0,65,0.0,0.0,27.4,44.6,57.6,2015,5,26
3.558,3.979,324196,28.0,350.0,700.0,59.603,13.7,17.0,11.9,0.0,74,0.0,10.0,35.7,42.4,57.6,2015,5,27
3.815,4.688,307174,31.0,368.0,736.0,60.563,13.4,19.0,6.0,0.0,64,0.0,10.0,22.8,35.2,48.2,2015,5,28
3.865,3.716,246106,40.0,460.0,710.0,61.608,8.3,16.0,3.0,0.0,50,0.0,9.8,21.3,35.2,51.9,2015,5,31
2.958,3.652,267978,34.0,320.0,640.0,59.948,7.2,10.0,5.0,0.0,78,0.0,10.0,18.0,27.8,0.0,2015,6,1
3.699,3.979,266112,37.0,405.0,810.0,61.033,8.1,10.0,6.0,0.0,92,0.0,9.5,9.8,20.6,0.0,2015,6,2
3.483,3.633,295506,38.0,365.0,730.0,60.563,7.6,11.0,4.0,0.0,77,0.0,10.0,13.0,37.0,55.4,2015,6,3
2.989,3.54,303551,37.0,407.5,815.0,60.758,7.6,10.0,6.7,0.0,50,0.0,10.0,33.5,42.4,64.8,2015,6,4
3.651,3.837,285824,31.0,395.0,790.0,61.866,10.7,13.0,8.8,0.0,76,0.0,9.8,17.4,27.8,0.0,2015,6,5
3.453,4.079,275973,35.0,320.0,890.0,62.0,13.7,17.0,5.0,0.0,66,0.0,9.3,28.7,40.7,59.4,2015,6,8
3.096,3.286,313947,32.0,345.0,690.0,60.406,8.6,13.0,5.0,0.0,73,0.0,10.0,18.1,31.7,0.0,2015,6,9
3.068,3.367,294143,32.0,420.0,840.0,62.257,8.8,11.2,3.0,0.0,72,0.0,10.0,13.0,24.1,0.0,2015,6,10
2.971,3.194,312226,37.0,480.5,961.0,63.643,7.5,13.0,3.0,0.0,52,0.0,9.8,7.6,14.8,0.0,2015,6,11
2.96,3.452,307405,38.0,383.5,767.0,60.406,10.8,17.0,6.0,0.0,78,0.0,10.0,8.9,16.5,0.0,2015,6,14
2.967,3.434,266534,42.0,750.0,1500.0,68.183,12.6,17.0,10.0,0.0,50,0.0,7.2,5.0,20.6,0.0,2015,6,15
2.944,3.304,286756,40.0,440.0,920.0,63.155,12.7,15.2,11.0,0.0,56,0.0,10.0,8.3,22.2,0.0,2015,6,16
2.987,4.158,290286,40.0,450.0,900.0,63.201,11.8,14.0,9.8,0.0,56,0.0,9.8,14.4,25.9,0.0,2015,6,17
3.0,3.218,271786,34.0,456.0,912.0,62.895,8.7,11.3,5.0,0.0,54,0.0,10.0,15.9,29.4,0.0,2015,6,18
3.011,3.581,256123,38.0,562.5,1125.0,68.183,7.3,12.0,3.0,0.0,66,0.0,10.0,26.1,51.9,72.2,2015,6,21
3.022,3.512,264775,39.0,370.0,800.0,60.885,10.4,12.0,5.0,0.0,66,0.0,10.0,38.7,51.9,75.9,2015,6,22
3.26,3.471,329228,49.0,370.0,840.0,63.312,13.2,17.0,8.9,0.0,65,0.0,10.0,31.9,46.5,63.0,2015,6,23
3.023,3.18,235591,42.0,760.0,875.0,60.0,11.1,16.0,7.9,0.0,77,0.0,9.8,15.2,22.2,0.0,2015,6,24
3.022,3.105,255570,45.0,450.0,900.0,63.729,11.4,13.0,10.0,0.0,74,0.0,10.0,13.1,27.8,0.0,2015,6,25
3.013,3.188,272990,46.0,371.0,742.0,61.256,9.9,14.0,5.0,0.0,77,0.0,10.0,8.5,16.5,0.0,2015,6,28
3.024,3.138,266714,41.0,485.0,970.0,63.643,7.8,13.0,3.5,0.0,51,0.0,9.8,8.5,14.8,0.0,2015,6,29
3.019,3.154,277412,36.0,521.0,1042.0,64.12,9.8,12.4,5.0,0.0,70,0.0,10.0,9.8,15.3,0.0,2015,6,30
2.992,3.252,267615,35.0,437.5,875.0,63.84,11.1,14.0,9.0,0.0,59,0.0,9.5,22.2,33.5,51.9,2015,7,1
2.849,3.27,262835,33.0,360.0,730.0,61.19,7.3,11.1,3.0,0.0,70,0.0,10.0,18.1,40.7,70.6,2015,7,2
3.048,3.223,230251,44.0,515.0,1030.0,64.953,9.9,15.0,7.0,0.0,60,0.0,9.5,33.7,44.6,63.0,2015,7,5
2.961,3.204,228277,34.0,494.0,988.0,64.953,8.3,11.0,7.0,0.0,80,0.0,1.0,26.5,35.2,55.4,2015,7,6
2.653,3.292,268192,42.0,526.5,1053.0,63.643,8.1,14.0,2.0,0.0,83,0.0,10.0,12.0,22.2,0.0,2015,7,7
3.026,3.228,255014,42.0,370.0,884.0,66.0,10.7,14.0,8.7,0.0,71,0.0,10.0,17.2,25.9,0.0,2015,7,8
3.03,3.345,320720,37.0,490.0,980.0,63.643,9.7,12.0,6.0,0.0,71,0.0,10.0,22.6,35.2,0.0,2015,7,9
3.037,3.356,186893,25.0,340.0,680.0,59.396,9.0,11.0,6.0,0.0,92,0.0,5.0,28.0,38.9,55.4,2015,7,12
2.901,4.444,258631,20.0,250.0,500.0,53.152,8.7,12.0,6.8,0.0,77,0.0,10.0,24.6,33.5,0.0,2015,7,13
3.399,3.456,345185,31.0,200.0,593.0,54.531,5.9,9.0,3.0,0.0,81,0.0,10.0,20.0,50.0,59.4,2015,7,14
3.029,3.46,350890,37.0,327.0,654.0,60.406,7.4,9.0,5.0,0.0,82,0.0,10.0,9.8,20.6,0.0,2015,7,15
3.274,3.356,295550,38.0,395.0,790.0,61.033,8.4,12.0,6.0,0.0,79,0.0,9.7,21.1,29.4,0.0,2015,7,16
3.006,3.245,266787,30.0,440.0,880.0,60.852,5.2,13.0,-1.0,0.0,75,0.0,10.0,10.0,20.6,0.0,2015,7,19
3.607,3.818,208687,36.0,450.0,960.0,58.0,9.8,14.0,5.0,0.0,61,0.0,10.0,27.0,48.2,66.5,2015,7,20
3.008,3.381,256514,41.0,497.5,995.0,64.953,12.7,15.2,11.0,0.0,67,0.0,9.5,39.6,55.4,74.1,2015,7,21
3.007,3.36,264696,48.0,480.0,960.0,64.12,9.8,15.3,6.0,0.0,74,0.0,1.0,18.9,31.7,0.0,2015,7,22
3.108,3.437,279179,37.0,489.0,978.0,64.953,10.4,14.0,7.0,0.0,81,0.0,1.0,22.8,33.5,51.9,2015,7,23
3.155,3.242,288225,30.0,300.0,760.0,61.19,6.6,11.0,4.0,0.0,67,0.0,10.0,27.8,61.1,79.5,2015,7,26
3.403,3.741,301315,36.0,415.0,830.0,63.091,8.9,13.0,6.9,0.0,73,0.0,10.0,20.6,31.7,0.0,2015,7,27
2.998,3.713,306927,26.0,590.0,1180.0,68.183,9.9,14.0,5.8,0.0,74,0.0,1.0,13.9,22.2,0.0,2015,7,28
3.449,3.809,264852,26.0,488.5,977.0,64.953,9.3,13.0,7.0,0.0,67,0.0,1.0,28.9,55.4,63.0,2015,7,29
3.318,3.722,267722,40.0,495.0,990.0,64.12,7.8,11.0,4.0,0.0,73,0.0,1.0,32.0,64.8,87.0,2015,7,30
3.23,3.667,334956,41.0,425.0,850.0,62.479,10.1,14.0,6.0,0.0,62,0.0,9.8,27.4,38.9,55.4,2015,8,2
2.995,3.686,330269,32.0,340.0,1050.0,51.0,5.6,10.0,2.0,0.0,67,0.0,10.0,20.0,37.0,51.9,2015,8,3
3.575,3.621,328755,36.0,450.0,900.0,62.367,8.6,10.0,6.0,0.0,66,0.0,9.8,22.0,31.7,0.0,2015,8,4
2.984,3.577,341811,29.0,554.0,1108.0,68.183,7.4,11.0,4.0,0.0,76,0.0,9.8,23.9,40.7,59.4,2015,8,5
3.447,3.664,305398,28.0,400.0,800.0,58.612,9.3,13.0,6.0,0.0,85,0.0,10.0,17.2,31.7,0.0,2015,8,6
3.274,3.67,314875,42.0,440.0,880.0,63.248,9.5,12.0,7.8,0.0,72,0.0,10.0,31.9,57.6,74.1,2015,8,9
